Order ID,Date,Product,Price,Quantity,Purchase Type,Payment Method,Manager,City
10452,11/7/2022,Fries,3.49,573.07,Online , Gift Card,Tom      Jackson,London
10453,11/7/2022,Beverages,2.95,745.76,Online , Gift Card,       Pablo Perez,Madrid
10454,11/7/2022,Sides & Other,4.99,200.4,In-store , Gift Card,Joao    Silva,Lisbon
10455,11/8/2022,Burgers,12.99,569.67,In-store , Credit Card,Walter Muller,Berlin
10456,11/8/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Walter Muller,Berlin
10457,11/8/2022,Fries,3.49,573.07,In-store , Credit Card,Remy    Monet,Paris
10459,11/8/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Walter Muller,Berlin
10460,11/9/2022,Burgers,12.99,554.27,In-store , Credit Card,Remy Monet,Paris
10461,11/9/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Remy Monet,Paris
10462,11/9/2022,Fries,3.49,573.07,In-store , Credit Card,       Remy Monet,Paris
10463,11/9/2022,Beverages,2.95,677.97,In-store , Credit Card,       Remy Monet,Paris
10464,11/9/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Remy     Monet,Paris
10465,11/10/2022,Burgers,12.99,554.27,In-store , Credit Card,Pablo Perez,Madrid
10466,11/10/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid
10467,11/10/2022,Fries,3.49,573.07,In-store , Credit Card,Pablo Perez,Madrid
10468,11/10/2022,Beverages,2.95,677.97,In-store , Credit Card,       Pablo Perez,Madrid
10470,11/11/2022,Burgers,12.99,554.27,In-store , Credit Card,       Pablo Perez,Madrid
10471,11/11/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,       Pablo Perez,Madrid
10472,11/11/2022,Fries,3.49,630.37,In-store , Credit Card,Pablo   Perez,Madrid
10473,11/11/2022,Beverages,2.95,677.97,In-store , Credit Card,       Pablo Perez,Madrid
10474,11/11/2022,Sides & Other,4.99,200.4,In-store , Credit Card,       Pablo Perez,Madrid
10475,11/12/2022,Burgers,12.99,523.48,In-store , Credit Card,       Pablo Perez,Madrid
10476,11/12/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid
10477,11/12/2022,Fries,3.49,630.37,In-store , Credit Card,Pablo  Perez,Madrid
10478,11/12/2022,Beverages,2.95,677.97,In-store , Credit Card,Pablo Perez,Madrid
10479,11/12/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Pablo    Perez,Madrid
10480,11/13/2022,Burgers,12.99,508.08,In-store , Credit Card,Pablo Perez,Madrid
10481,11/13/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid
10482,11/13/2022,Fries,25.5,630.37,In-store , Credit Card,Joao Silva,Lisbon
10486,11/14/2022,Chicken Sandwiches,29.05,201.01,In-store , Credit Card,Joao    Silva,Lisbon
10487,11/14/2022,Fries,3.49,630.37,In-store , Credit Card,Joao Silva,Lisbon
10488,11/14/2022,Beverages,2.95,677.97,In-store , Credit Card,Joao Silva,Lisbon
10489,11/14/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Pablo Perez,Madrid
10490,11/15/2022,Burgers,12.99,508.08,In-store , Credit Card,Pablo Perez,Madrid
10491,11/15/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid
10492,11/15/2022,Fries,3.49,573.07,In-store , Credit Card,Pablo Perez,Madrid
10493,11/15/2022,Beverages,2.95,677.97,In-store , Credit Card,Pablo Perez,Madrid
10494,11/15/2022,Sides & Other,4.99,200.4,In-store , Credit Card,Pablo Perez,Madrid
10495,11/16/2022,Burgers,12.99,508.08,In-store , Credit Card,Pablo Perez,Madrid
10496,11/16/2022,Chicken Sandwiches,9.95,201.01,In-store , Credit Card,Pablo Perez,Madrid
10497,11/16/2022,Fries,3.49,573.07,In-store , Credit Card,Pablo Perez,Madrid
10498,11/16/2022,Beverages,2.95,677.97,Drive-thru , Credit Card,Pablo Perez,Madrid
10499,11/16/2022,Sides & Other,4.99,200.4,Drive-thru , Credit Card,Pablo Perez,Madrid
